,string,count,group
4223,Torngat Metals,2,torngat metals
4224,Avis de recherche Inc.,2,avis de recherche
4225,Associated Designers of Canada (ADC),2,associated designers of canada (adc)
4226,Township of Amherstburg,2,township of amherstburg
4227,Global Payments Canada,2,global payments canada
4228,Kunuwanimano Child and Family Services,2,kunuwanimano child and family services
4229,canadian pacific,2,canadian pacific railway
4230,SUNCOR ENERGY INC,2,suncor energy inc
4231,First Nations Health and Social Secretariat of Manitoba,2,first nations health and social secretariat of manitoba
4232,Dundee Sustainable Technologies Inc.,2,dundee sustainable technologies inc.
4233,Orbis Canada,2,orbis canada
4234,"New West Public Affairs (on behalf of MJardin Group, LLC)",2,"new west public affairs (on behalf of mjardin group, llc)"
4235,Tribal Wi-Chi-Way-Win Capital Corporation,2,tribal wi-chi-way capital corporation
4236,Scotts Canada Ltd. / Hawthorne Canada,2,scotts canada limited
4237,Capital Sports Management Inc.,2,capital sports management inc.
4238,Canadian Veterinary Medical Association,2,canadian veterinarian medical association
4239,The North-South Institute,2,the north-south institute
4240,Nokia Siemens Networks,2,nokia siemens networks
4241,Cannibliss Inc.,2,cannibliss inc.
4242,Kiverdi Inc,2,kiverdi inc
4243,Medipure Pharmaceuticals Inc.,2,medipure pharmaceuticals inc.
4244,T-Base Communications Inc,2,t-base communications inc
4245,Diversified Nutrition Lifestyle,2,diversified nutrition lifestyle
4246,Rio Tinto Borates,2,rio tinto
4247,Canadian Association of Energy and Pipeline Landowner Associations (CAEPLA),2,canadian association of energy and pipeline landowner associations (caepla)
4248,OneWeb (1021823 B.C. Limited),2,oneweb
4249,Rocky View 2020,2,rocky view 2020
4250,Disaster Relief Housing Solutions,2,disaster relief housing solutions
4251,Pacific Halibut Management Association,2,pacific halibut management association
4252,Herbal Magic Inc.,2,herbal magic
4253,Weir Canada Inc.,2,weir canada inc.
4254,Renewable Energy Business Limited,2,renewable energy business limited
4255,College of Psychologists of British Columbia,2,college of psychologists of british columbia
4256,Soricimed Biopharma Inc.,2,soricimed biopharma inc.
4257,Siemens Healthcare Limited,2,siemens healthcare limited
4258,Orkestrat Advanced Solutions,2,orkestrat advanced solutions
4259,Horizon Housing Society,2,horizon housing society
4260,BYD USA,2,byd usa
4261,National Starch ULC,2,national starch ulc
4262,Nature Canada,2,nature canada
4263,"Dun and Bradstreet, Inc",2,"dun and bradstreet, inc"
4264,Board of Trade of Metropolitan Montréal,2,board of trade of metropolitan montreal
4265,Bullfrog Power Inc.,2,bullfrog power inc.
4266,Prometheus Studios Inc.,2,prometheus studios inc.
4267,CGI Group Inc.,2,cgi
4268,Tech Data Canada Corporation,2,tech data canada corporation
4269,Canadian Poultry Research Council,2,canadian poultry research council
4270,"Connors Bros., L.P. (formerly BBCL Holdings LLP)",2,"connors bros., l.p. (formerly bbcl holdings llp)"
4271,McConnell Foundation,2,mcconnell foundation
4272,Call2Recycle,2,call2recycle
4273,11059319 Canada Inc,2,11059319 canada inc
4274,EXP,2,exp
4275,Atradius Credit Insurance,2,atradius credit insurance
4276,Lodestar Security,2,lodestar security
4277,Villes de Saint-Jérôme,2,villes de saint-jerome
4278,Reptilia Inc.,2,reptilia inc.
4279,Nordresa,2,nordresa
4280,Seymour Health Centre Inc.,2,seymour health centre inc.
4281,VFS Global,2,vfs global
4282,Sony Mobile Communications through Sony Canada,2,sony canada
4283,Duolingo,2,duolingo
4284,The Earth Rangers Foundation,2,earth rangers
4285,APOTEX INC.,2,apotex
4286,Canadian Common Ground Alliance,2,canadian common ground alliance
4287,Luminarie Canada,2,luminarie canada
4288,Stewart Title Guaranty Company – Canadian Division,2,stewart title guaranty company - canadian division
4289,Mack Defense,2,mack defense
4290,SAD Network,2,sad network
4291,Windmill Development Group Ltd.,2,windmill development group ltd.
4292,Mondelez Canada,2,mondelez canada
4293,Public Service Alliance of Canada - BC,2,public service alliance of canada
4294,Siemens Energy Canada Limited,2,siemens energy canada limited
4295,Meggitt Training Systems Canada,2,meggitt training sysems canada
4296,Canadian Treatment Action Council,2,canadian treatment action council
4297,Northumberland Manufacturing Association,2,northumberland manufacturing association
4298,Bombardier Produits Récréatifs Inc.,2,bombardier produits recreatifs inc.
4299,Ontario Society of Professional Engineers,2,ontario society of professional engineers
4300,Sobi Canada Inc.,2,sobi canada inc.
4301,Laurentian Bank of Canada,2,laurentian bank of canada
4302,FSD Pharma Inc.,2,fsd pharma inc.
4303,Hypertec Group,2,hypertec group
4304,Nexter Systems,2,nexter systems
4305,First Kaska GP Ltd.,2,first kaska gp ltd.
4306,Northwestern Ontario Air Carriers Association,2,northwestern ontario air carriers association
4307,TOP ACES CONSULTING INC.,2,top aces consulting inc.
4308,Watts Wind Energy Incorporated,2,watts wind energy incorporated
4309,Computer Research Institute of Montreal,2,computer research institute of montreal
4310,SNC-Lavalin,2,snc-lavalin
4311,Extreme Microbial Technologies,2,extreme microbial technologies
4312,Palo Alto Networks,2,palo alto networks
4313,GENERAL MILLS CANADA,2,general mills canada
4314,ATMA Journey Centers Inc.,2,atma journey centers inc.
4315,Dell Technologies Canada,2,"dell canada inc.,"
4316,Organization of CANDU Industries,2,organization of candu industries
4317,Solace Corporation,2,solace corporation
4318,The Mark Inc.,2,the mark inc.
4319,EnerQuality Corporation,2,enerquality corporation
4320,Leonardo,2,leonardo
4321,Canadian Medical Nonwovens Co.,2,canadian medical nonwovens co.
4322,Apotex,2,apotex
4323,Catalyst Healthcare Ltd.,2,catalyst healthcare ltd.
4324,Université de Sherbrooke,2,universite de sherbrooke
4325,Porter Novelli,2,porter novelli
4326,BC Milk Producers Association,2,bc milk producers association
4327,Canadian Orthopaedic Association (COA),2,canadian orthopaedic association
4328,Guyana Goldfields Inc.,2,guyana goldfields inc.
4329,Ontario Medical Association (OMA),2,ontario medical association (oma)
4330,Canadian Shareholder Association for Research and Education,2,canadian shareholder association for research and education
4331,National Coalition of Commercial Property Owners via Melcor Developments Ltd.,2,national coalition of commercial property owners via melcor developments ltd.
4332,Prince Rupert Grain Ltd.,2,prince rupert grain
4333,Maritime Football Partnership Limited,2,maritime football partnership limited
4334,Tea Association of Canada,2,tea and herbal association of canada
4335,Accenture Canada,2,accenture inc.
4336,Viral Me,2,viral me
4337,JAZZ.FM91,2,jazz.fm91
4338,Major International Festivals and Events of Ontario,2,major international festivals and events of ontario
4339,SOUTHERN RAILWAY OF BRITISH COLUMBIA LIMITED,2,southern railway of british columbia limited
4340,Bilcon of Delaware Inc,2,bilcon of delaware inc
4341,Nipawin Biomass Ethanol New Generation Co-operative Ltd.,2,nipawin biomass ethanol new generation co-operative ltd.
4342,"NXP Semiconductors USA, Inc.",2,"nxp semiconductors usa, inc."
4343,New  World  Generation,2,new world generation
4344,The Recreation Vehicle Dealers Association (RVDA) of Canada,2,recreation vehicle dealers association of canada
4345,CANADA FAMILY ACTION COALITION,2,canada family action coalition
4346,CTMA,2,ctma
4347,Colorex (2009) Inc.,2,colorex (2009) inc.
4348,Sirius XM Canada Holdings Inc.,2,sirius xm canada inc.
4349,Livres Canada Books,2,livres canada books
4350,Beachfront Developments Inc.,2,beachfront developments inc.
4351,TLN Media Group Inc.,2,tln media group
4352,Direct Sellers Association,2,direct sellers association
4353,CHERUBINI GROUP OF COMPANIES,2,cherubini group of companies
4354,Agrifoods International Cooperative Ltd.,2,agrifoods international cooperative ltd.
4355,Black Diamond Group,2,black diamond group
4356,Malta Inc.,2,malta inc.
4357,GENOME CANADA,2,genome canada
4358,Qalipu Mi'kmaq First Nation Band,2,qalipu mi'kmaq first nation band
4359,Concordia University College of Alberta,2,concordia university
4360,Sam and Denise Colizza,2,sam and denise colizza
4361,Fort Francis Tribal Area Health Services,2,fort francis tribal area health services
4362,Benchmark Corp Inc.,2,benchmark corp inc.
4363,Two Feathers Forest Products,2,two feathers forest products
4364,CALGARY ZOO,2,calgary zoo
4365,The Canadian Wool Council,2,the canadian wool council
4366,Great Plains College,2,great plains college
4367,Bombardier Specialized Aircraft,2,bombardier inc.
4368,Dow AgroSciences Canada Inc,2,dow agrosciences canada inc
4369,ABBOTT LABORATORIES CANADA,2,abbott laboratories canada
4370,KEYSTONE AGRICULTURAL PRODUCERS,2,keystone agricultural producers
4371,Bruce Trail Conservancy,2,bruce trail conservancy
4372,Kinsa Health,2,kinsa health
4373,Woodside Energy International (Canada) Ltd,2,woodside energy
4374,TJD Industriel,2,tjd industriel
4375,Sagamok Anishnawbek First Nation,1,sagamok anishnawbek first nation
4376,StandardAero Ltd,1,standard aero limited
4377,Seventh-day Adventist Church of Canada,1,seventh-day adventist church of canada
4378,"Kroll Bond Rating Agency, Inc.",1,"kroll bond rating agency, inc."
4379,Raytheon Integrated Defense Systems,1,raytheon integrated defense systems
4380,Daily Bread Food Bank,1,daily bread food bank
4381,Compute Canada,1,compute canada
4382,Peace River Coal Inc.,1,peace river coal inc.
4383,ratiopharm,1,ratiopharm
4384,Union des municipalités du québec,1,union des municipalites du quebec
4385,Canadians for Safety Abroad,1,canadians for safety abroad
4386,"Canadian Index of Wellbeing, University of Waterloo",1,"canadian index of wellbeing, university of waterloo"
4387,Gary Bennett,1,gary bennett
4388,Canadian Employers Council,1,canadian employers council
4389,Software AG,1,software ag
4390,Veritec Solutions,1,veritec solutions
4391,Royal Canadian Geographical Society,1,royal canadian geographical society
4392,TRU Simulation + Training Canada Inc,1,tru simulation + training
4393,FMA of Canada,1,fma of canada
4394,Girl Guides of Canada,1,girl guides of canada
4395,Proto Manufacturing Ltd.,1,proto manufacturing ltd.
4396,"EMBASSY OF THE KINGDOM OF SAUDI ARABIA, THE",1,"embassy of the kingdom of saudi arabia, the"
4397,ENVIRONMENTAL CRIMINOLOGY RESEARCH INC. (ECRI),1,environmental criminology research inc. (ecri)
4398,"VistaGen Therapeutics, Inc.",1,"vistagen therapeutics, inc."
4399,Turo Inc.,1,turo inc.
4400,World Society for the Protection of Animals - Canada,1,world society for the protection of animals
4401,CANADIAN OILS SANDS LIMITED,1,canadian oil sands limited
4402,National Bank of Canada,1,national bank of canada
4403,Avivagen Inc,1,avivagen inc
4404,Canadian Association for Child and Play Therapy,1,canadian association for child and play therapy
4405,NBC Universal,1,nbc universal
4406,Interior Systems Contractors Association of Ontario,1,interior systems contractors association of ontario
4407,Bourse de Montréal Inc.,1,bourse de montreal inc.
4408,Canadian Psychedelic Association,1,canadian psychedelic association
4409,Campagne internationale pour la conservation boréale,1,campagne internationale pour la conservation boreale
4410,Will Solutions,1,will solutions
4411,Max Aicher North America,1,max aicher north america
4412,Shipbuilding Association of Canada,1,shipbuilding association of canada
4413,Biovail Pharmaceuticals Canada,1,biovail pharmaceuticals canada
4414,Aboriginal Coalition to End Homelessness,1,aboriginal coalition to end homelessness
4415,Discovery Air,1,discovery air defence
4416,COALITION QUEBECOISE POUR LE CONTROLE DU TABAC,1,coalition quebecoise pour le controle du tabac
4417,Propulsion Quebec,1,propulsion quebec
4418,Attawapiskat First Nation,1,attawapiskat first nation
4419,NextWave Broadband LLC,1,nextwave broadband llc
4420,Envision SQ Inc.,1,envision sq inc.
4421,BAE Systems (Operations) Limited,1,bae systems (operations) limited
4422,American Chemistry Council,1,american chemistry council
4423,"BD White Birch Investment,LLC",1,"bd white birch investment,llc"
4424,The Economic Club of Canada,1,the economic club of canada
4425,Wilson Fuel Co. Limited,1,wilson fuel co. limited
4426,The University of Lethbridge,1,university of lethbridge
4427,Calgary Golf Promotions Inc. (operating as the Shaw Charity Classic),1,calgary golf promotions inc. (operating as the shaw charity classic)
4428,ClearMe Inc.,1,clearme inc.
4429,ATCO Group,1,atco
4430,Canadian Orthopedic Association,1,canadian orthopaedic association
4431,Winterra Global Technologies,1,winterra global technologies
4432,Fluent Beverages Limited Partnership,1,fluent beverages limited partnership
4433,Doheny Productions Inc.,1,doheny productions inc.
4434,World Arctic Forum(Via the Parliamentary Group),1,world arctic forum(via the parliamentary group)
4435,Barrhaven Synagogue,1,barrhaven synagogue
4436,Becton Dickenson Canada Inc.,1,becton dickenson canada inc.
4437,Royal Montreal Golf Club,1,royal montreal golf club
4438,Korbitec Inc,1,korbitec inc
4439,ORACLE CANADA,1,oracle corp.
4440,Rio Tinto Plc,1,rio tinto
4441,Mincom,1,mincom
4442,"Gestion MTRP Inc. Through contract with Osler, Hoskin & Harcourt LLP",1,"gestion mtrp inc. through contract with osler, hoskin & harcourt llp"
4443,General Motors of Canada Ltd.,1,general motors of canada company
4444,Cybergun,1,cybergun
4445,Holding O.C.B. Inc.,1,holding o.c.b. inc
4446,The Bullet ID Corporation,1,the bullet id corporation
4447,"Rockwell Collins Canada, a part of Collins Aerospace",1,"rockwell collins canada, a part of collins aerospace"
4448,SAF PLUS CONSORTIUM,1,saf plus consortium
4449,Merck Frosst Canada Inc.,1,merck frosst canada inc.
4450,3 Sixty Secure Corporation,1,3 sixty secure corporation
4451,L-3 Communications Electronic Systems,1,l3 technologies canada inc.
4452,MARs Canada Inc.,1,mars canada inc.
4453,Katz Group Canada,1,katz group canada
4454,PAX Labs Inc,1,pax labs inc
4455,EHC Canada Inc.,1,ehc canada inc.
4456,AI-R,1,ai-r
4457,Avcorp Industries Inc.,1,avcorp industries inc.
4458,Trebor Rx Corp.,1,trebor rx corp.
4459,Global Container Terminals GCT,1,global container terminals
4460,"American Federation of Labor and Congress of Industrial Organizations (AFL-CIO), Building and Construction Trades Department, Canadian Office",1,"american federation of labor and congress of industrial organizations (afl-cio), building and construction trades department, canadian office"
4461,Cronos Group Inc.,1,cronos group inc.
4462,Eurocontrol Technics Group Inc.,1,eurocontrol technics group inc.
4463,Matrix Global USA Inc,1,matrix
4464,WESTBANK,1,westbank
4465,Paterson GlobalFoods Inc.,1,paterson globalfoods inc.
4466,Dominion Diamond Mines ULC,1,dominion diamond corporation
4467,Dragados Canada Inc.,1,dragados canada inc.
4468,The Business and Institutional Furniture Manufacturers Association (BIFMA) International,1,the business and institutional furniture manufacturers association (bifma) international
4469,Industrial Commutator Company Limited,1,industrial commutator company limited
4470,The Canadian Bar Association,1,canadian bar association
4471,Systemex Technologies Ltd.,1,systemex technologies ltd.
4472,Sehomi Group Inc.,1,sehomi group inc.
4473,Ontario federation of agriculture,1,ontario federation of agriculture
4474,The Tomakijian Family,1,the tomakijian family
4475,Nouveau Monde Mining Enterprises Inc.,1,nouveau monde mining enterprises inc.
4476,Nahanni Butte Outfitters,1,nahanni butte outfitters
4477,Abbotsford Tech District,1,abbotsford tech district
4478,Linde North America Inc.,1,linde
4479,EMD Serono Canada,1,emd serono canada
4480,Wish of a Lifetime Canada,1,wish of a lifetime canada
4481,LES BIERES DE LA NOUVELLE-FRANCE INC.,1,les bieres de la nouvelle-france inc.
4482,Azzimov Inc,1,azzimov inc
4483,Halifax Port Authority,1,halifax port authority
4484,NGRAIN Canada Corporation,1,ngrain
4485,Canadian Pasta Manufacturers Association,1,canadian pasta manufacturers association
4486,The Canadian Independent Fish Harvester's Federation,1,canadian independent fish harvesters federation
4487,TransCanada Pipelines Limited,1,tc energy
4488,Gay Lea Foods Cooperative Ltd,1,gay lea foods
4489,Kids' Internet Safety Alliance (KINSA),1,kids' internet safety alliance (kinsa)
4490,John C Munro Hamilton International Airport,1,john c munro hamilton international airport
4491,Upper Lakes Marine & Industrial Inc,1,upper lakes marine & industrial inc
4492,Annidis Health Systems Corp.,1,annidis health systems corp.
4493,The Building Industry and Land Development Association,1,the building industry and land development association
4494,Bee Clean Building Maintenance,1,bee clean building maintenance
4495,Naval Group,1,naval group
4496,Science Media Centre of Canada,1,science media centre of canada
4497,Cord3 Innovation Inc.,1,cord3 innovation inc.
4498,Nunavut Impact Review Board,1,nunavut impact review board
4499,Canadian Renewable Fuels Association (CRFA),1,canadian renewable fuels association
4500,Royal Botanical Gardens,1,royal botanical gardens
4501,Nova Scotia Power Inc.,1,nova scotia power inc.
4502,WONGA UK,1,wonga uk
4503,"McGill University, Montreal Neurological Hospital and Institute",1,mcgill university
4504,YAHM Systems Inc,1,yahm systems inc
4505,SavvyDox,1,savvydox
4506,ELISERA Electronic Systems Ltd.,1,elisera electronic systems ltd.
4507,World Design Summit Organisation (WDSO),1,world design summit organisation (wdso)
4508,Premier Mining Products Inc. -On.#835156241,1,premier mining products inc. -on.#835156241
4509,The Canadian Association of Professional Immigration Consultants,1,canadian association of professional immigration consultants
4510,WB Games Montreal,1,wb games montreal
4511,The Gorilla Glue Company,1,the gorilla glue company
4512,Better Place,1,better place
4513,Dorel Industries Inc.,1,dorel industries inc.
4514,Leonardo S.p.A.,1,leonardo
4515,Flextrack Inc.,1,flextrack inc.
4516,CIAA UNIVERSAL,1,ciaa universal
4517,Dalkia Canada Inc.,1,dalkia canada inc.
4518,Tred'si,1,tred'si
4519,Ottawa Riverkeeper,1,ottawa riverkeeper
4520,Independent Financial Brokers of Canada,1,independent financial brokers of canada
4521,Atlas Tube Canada ULC,1,atlas tube canada ulc
4522,Swiss International Airlines Ltd.,1,swiss international airlines ltd.
4523,University of Ontario Institute of Technology (operating as Ontario Tech University),1,university of ontario institute of technology
4524,STEELCASE SOFTWARE CORP.,1,steelcase software corp.
4525,"Rx&D, Canada's Research-Based Pharmaceutical Companies",1,"rx&d, canada's research-based pharmaceutical companies"
4526,Dental GPS Inc.,1,dental gps inc.
4527,Meridian Credit Union,1,meridian credit union
4528,Addictions and Mental Health Ontario,1,addictions and mental health ontario
4529,Management & Training Corporation,1,management & training corporation
4530,Chicago Title Canada,1,chicago title canada
4531,Wataynikaneyap Power Corporation,1,wataynikaneyap power corporation
4532,Tourist Industry Association of Ontario (TIA0),1,tourist industry association of ontario (tia0)
4533,Montréal International Triathlon,1,montreal international triathlon
4534,Terramerra,1,terramera
4535,Kings Distributed Systems ltd.,1,kings distributed systems ltd.
4536,Young Women's Christian Association of Greater Toronto,1,young women's christian association of greater toronto
4537,The HallStar Company,1,the hallstar company
4538,Yale First Nation,1,yale first nation
4539,Manulife,1,manulife
4540,Ontario Nutri Labs Inc.,1,ontario nutri labs inc.
4541,Skills / Compétences Canada,1,skills / competences canada
4542,Portail 51 Pegasi,1,portail 51 pegasi
4543,Association of Canadian Community Colleges,1,association of canadian community colleges
4544,Cree Nation of Eastmain,1,cree nation of eastmain
4545,SEaB Energy LTD,1,seab energy ltd
4546,Waterton Lakes Leaseholders Association,1,waterton lakes leaseholders association
4547,Bow Valley Credit Union Ltd.,1,bow valley credit union ltd.
4548,Cox & Kings Ltd.,1,cox & kings ltd.
4549,Cultus Lake Marina,1,cultus lake marina
4550,Chilliwack & District Real Estate Board,1,chilliwack & district real estate board
4551,New Era Nutrition,1,new era nutrition
4552,Commercial Production Association of Toronto,1,commercial production association of toronto
4553,Songbird Life Science Inc.,1,songbird life sciences
4554,9294-4958 Québec inc.,1,9294-4958 quebec inc.
4555,TELUS COMMUNICATIONS INC.,1,telus
4556,Canadian Finance and Leasing Association,1,canadian finance & leasing association
4557,Canadian Kennel Club,1,canadian kennel club
4558,IDA Canada,1,ida canada
4559,ChemChamp,1,chemchamp
4560,St. Joseph's Health System,1,st. joseph's health system
4561,Embassy of the Republic of Turkey,1,embassy of the republic of turkey
4562,Oto Melara,1,oto melara
4563,NextEnergy Solutions Ltd.,1,nextenergy solutions ltd.
4564,ACCENTURE INC.,1,accenture inc.
4565,Vecova Centre for Disability Services and Research,1,vecova centre for disability services and research
4566,Ontario Society for the Prevention of Cruelty to Animals,1,ontario society for the prevention of cruelty to animals
4567,West End Home Builders' Association,1,west end home builders' association
4568,Collège Boréal d'arts appliqués et de technologie,1,college boreal d'arts appliques et de technologie
4569,Motif Labs Ltd.,1,motif labs ltd.
4570,Pascan Aviation,1,pascan aviation
4571,Harry Winston Diamond Corporation,1,harry winston diamond corporation
4572,"SK Engineering & Construction Co., Ltd.",1,"sk engineering & construction co., ltd."
4573,Thermal Technology Services Inc,1,thermal technology services inc
4574,Durham and Community Healthcare Foundation Inc.,1,durham and community healthcare foundation inc.
4575,Saskatchewan Association of Rural Municipalties,1,saskatchewan association of rural municipalities
4576,Pharma & Biopharma Outsourcing Association,1,pharma & biopharma outsourcing association
4577,Nu-Tea Company,1,nu-tea company
4578,South Essex Fabricating Inc.,1,south essex fabricating
4579,Investment Management Corporation of Ontario,1,investment management corporation of ontario
4580,CompuCom Canada Co.,1,compucom canada co.
4581,DCR/Phoenix Group of Companies,1,dcr/phoenix group of companies
4582,Sleep Performance Inc. dba Fatigue Science,1,sleep performance inc. dba fatigue science
4583,Fire Eye Inc.,1,fire eye inc.
4584,RAFAEL USA Inc.,1,rafael usa inc.
4585,Canadian Association of Medical Radiation Technologists,1,canadian association of medical radiation technologists
4586,Bioverativ Inc.,1,bioverativ inc.
4587,STELIA Aerospace St -Laurent,1,stelia aerospace st -laurent
4588,SkipTheDishes Restaurant Services Inc.,1,skipthedishes restaurant services inc.
4589,AREVA Canada Inc.,1,areva canada inc.
4590,HEWLET PACKARD  ENTERPRISE SERVICES (formerly EDS Canada),1,hp inc.
4591,Lighthouse Immersive Inc.,1,lighthouse immersive inc.
4592,Radiation Safety Institute of Canada,1,radiation safety institute of canada
4593,"Edesa Biotech Research, Inc.",1,"edesa biotech research, inc."
4594,Stanley Brothers Canada,1,stanley brothers canada
4595,Medallion Milk Co.,1,medallion milk co.
4596,Hamilton Health Sciences,1,hamilton health sciences
4597,Northern Alberta Institute of Technology,1,northern alberta institute of technology
4598,SECURITAS TRANSPORT AVIATION SECURITY LIMITED,1,securitas transport aviation security limited
4599,Matrix,1,matrix
4600,Deloitte LLP,1,deloitte canada
4601,LifeLabs LP,1,lifelabs lp
4602,Centre for Education and Training,1,centre for education and training
4603,Red Dock Fund LLC,1,red dock fund llc
4604,Canadian Business Information Network (CABiNET),1,canadian business information network (cabinet)
4605,MEC,1,mec
4606,Dorato Resources Inc,1,dorato resources inc
4607,Town of Gibbons,1,town of gibbons
4608,Nordstar Capital LP,1,nordstar capital lp
4609,Raymond Chabot Grant Thorton,1,raymond chabot grant thorton
4610,ATRIA NETWORKS,1,atria networks
4611,Ontario Energy Association,1,ontario energy association
4612,Concrete Atlantic,1,concrete atlantic
4613,New Dawn Enterprises,1,new dawn enterprises
4614,Canadian Advanced Technology Alliance (CATAAlliance),1,canadian advanced technology alliance (cata)
4615,Réseau Environnement,1,reseau environnement
4616,U.S. Lumber Coalition,1,u.s. lumber coalition
4617,Ettizan Financial & Real Estate Management Company,1,ettizan financial & real estate management company
4618,Westminster Savings Credit Union,1,westminster savings credit union
4619,HP Enterprise,1,hp enterprise
4620,B-Temia Inc.,1,b-temia inc.
4621,World Police Academy,1,world police academy
4622,RPM Canada Company,1,rpm canada company
4623,Canadian Council of Grocery Distributors,1,canadian council of grocery distributors
4624,Ontario Centres of Excellence,1,ontario centres of excellence
4625,Forefront Innovative Technologies Inc.,1,forefront innovative technologies inc.
4626,Advanced Interactive Canada Inc. (Advintive),1,advanced interactive canada inc. (advintive)
4627,Suncor Energy Inc./Suncor Énergie Inc.,1,suncor energy inc./suncor energie inc.
4628,NVIDIA,1,nvidia
4629,ENERGYSOLUTIONS CANADA CORPORATION,1,energy solutions canada
4630,Avataq Cultural Institute,1,avataq cultural institute
4631,Kosiner Enterprise Holdings,1,kosiner enterprise holdings
4632,Valiant Corporation,1,valiant corporation
4633,Rick Kuzyk,1,rick kuzyk
4634,Industrial Minerals Association - North America,1,industrial minerals association - north america
4635,ULTRAMAR LTEE.,1,ultramar ltd.
4636,"23andMe, Inc",1,"23andme, inc"
4637,Grand River Enterprises,1,grand river enterprises
4638,REDCanada,1,redcanada
4639,Toronto Community Benefits Network,1,toronto community benefits network
4640,Novom Interactive,1,novom interactive
4641,Inocucor Technologies Inc,1,inocucor technologies inc
4642,Shell Canada,1,shell canada
4643,Armenian national committee of Canada,1,armenian national committee of canada
4644,Artofix,1,artofix
4645,Canada's Forest Trust Corporation,1,canada's forest trust corporation
4646,Graeme Hall Nature Sanctuary Inc,1,graeme hall nature sanctuary inc
4647,CHEVRON CANADA RESOURCES,1,chevron corp.
4648,GoodLife Fitness Centres Inc.,1,goodlife fitness centres inc.
4649,Meggitt Training Sysems Canada,1,meggitt training sysems canada
4650,Canadian Fiber Optics Group Ltd.,1,canadian fiber optics corporation
4651,"NCO Financial Services, Inc.",1,"nco financial services, inc."
4652,Orbite Aluminae Inc.,1,orbite technologies inc.
4653,Morneau Shepell Inc.,1,morneau shepell
4654,Hewlett-Packard (Canada) Co.,1,hp inc.
4655,First National Financial Corporation,1,first national financial corporation
4656,AIR CADET LEAGUE OF CANADA,1,air cadet league of canada
4657,Renewed Computer Technologies - Ontario,1,renewed computer technologies - ontario
4658,Air Inuit limited,1,air inuit limited
4659,Conceivable Dreams,1,conceivable dreams
4660,BHP,1,bhp
4661,SiMPACT Strategy Group,1,simpact strategy group
4662,REEL Canada,1,reel canada
4663,mdf commerce inc.,1,mdf commerce inc.
4664,Toronto Digital Outdoor Network Co. (a affiliate company of Allvision Canada),1,toronto digital outdoor network co. (a affiliate company of allvision canada)
4665,AdvantAge Ontario - Advancing Senior Care,1,advantage ontario - advancing senior care
4666,AIG Commercial Insurance Company of Canada,1,aig commercial insurance company of canada
4667,Lions Gate Entertainment Corp,1,lion's gate entertainment corp.
4668,Wahkohtowin Development GP corporation,1,wahkohtowin development gp corporation
4669,NDMAC,1,ndmac
4670,Nasdaq Inc,1,nasdaq inc
4671,Baykar Defence,1,baykar defence
4672,Canadian Consumer Initiative,1,canadian consumer initiative
4673,BASF CANADA INC.,1,basf canada inc.
4674,Pollution Probe Foundation,1,pollution probe foundation
4675,iGPS Logistics LLC,1,igps logistics llc
4676,William H. COmrie,1,william h. comrie
4677,Unmanned Systems Canada,1,unmanned systems canada
4678,Allevio Pain Management,1,allevio pain management
4679,Northrop Grumman Mission Systems,1,northrop grumman mission systems
4680,Bombardier Transportation,1,bombardier inc.
4681,Concentra Financial Services Association,1,concentra financial services association
4682,Ultima Foods Inc.,1,ultima foods inc.
4683,Noble Precision Tooling Ltd.,1,noble precision tooling ltd.
4684,Vale Inco Ltd.,1,vale
4685,Abbott Diabetes Care Canada,1,abbott laboratories
4686,Canadian Air Traffic Controllers' Association,1,canadian air traffic control association
4687,Kinder Morgan Cochin ULC,1,kinder morgan canada inc
4688,CubicFarm Systems Corp.,1,cubicfarm systems corp.
4689,Accord Financial Ltd.,1,accord financial ltd.
4690,Paytechs of Canada,1,paytechs of canada
4691,Corporation of the Town of Inuvik,1,corporation of the town of inuvik
4692,Pentwater Capital Management LP,1,pentwater capital management lp
4693,Ontario Waterway Cruises Inc.,1,ontario waterway cruises inc.
4694,Kruger inc.,1,kruger inc.
4695,AIR CANADA,1,air canada
4696,MARA Biofuels,1,mara biofuels
4697,Pan Canadian Alliance AI Based Diagnostic and Treatment for Alzheimers’s,1,pan canadian alliance ai based diagnostic and treatment for alzheimers's
4698,Casselman Developments Limited,1,casselman developments limited
4699,Canadian MedicAlert Foundation,1,canadian medicalert foundation
4700,Branded Cities,1,branded cities
4701,Arts Habitat Edmonton,1,arts habitat edmonton
4702,Introhive Inc.,1,introhive inc.
4703,HD Supply Canada (Litemor),1,hd supply canada (litemor)
4704,Cavalluzzo Shilton McIntyre Cornish LLP,1,cavalluzzo shilton mcintyre cornish llp
4705,QUEST - Quality Urban Energy Systems of Tomorrow,1,quest - quality urban energy systems of tomorrow
4706,Imperial Metals Corporation,1,imperial metals corporation
4707,STYL&TECH,1,styl&tech
4708,GNL Québec,1,gnl quebec
4709,Nisus Corporation,1,nisus corporation
4710,Bluedrop Learning Networks Inc.,1,bluedrop learning networks inc.
4711,Canadian Association of Management Consultants,1,canadian association of management consultants
4712,Mounted Police Member's Legal Fund,1,mounted police member's legal fund
4713,Mouvement d'implication francophone d'Orléans,1,mouvement d'implication francophone d'orleans
4714,Associates in Cardiology,1,associates in cardiology
