string0,string1
Norwich University,NORWICH UNIV
First Data Corp,First Data Corporation
American Nurses Assn,American Nurses Association
Mission at Kern County,The Mission at Kern County
"City of Fullerton, CA",City of Fullerton
Litchfield Park Service,LITCHFIELD PARK SERVICE CO.
Idetix,"IDETIX, INC"
Dine Power Authority,DINE POWER AUTHORITY PO BOX 3239 WINDOW ROCK AZ 86515
Council of Saudi Chambers of Commerce,COUNCIL OF THE SAUDI CHAMBERS OF COMMERCE & INDUSTRY
US Against Alzheimer's,UsAgainstAlzheimer's
Pymetrics Inc,"Pymetrics, Inc."
EOG Resources,EOG RESOURCES
Vantagescore Solutions,"VANTAGESCORE SOLUTIONS, LLC"
Overstock.com,OVERSTOCK COM INC
Coalition for Global Perspectives,COALITION FOR GLOBAL PERSPECTIVES
Pro2Serve Professional Project Services,PRO2SERVE PROFESSIONAL PROJECT SERVICES INC
Thomas J Kuczynski & Assoc,"KUCZYNSKI & ASSOC, THOMAS J."
National Athletic Trainers Assn,National Athletic Trainers' Association
Malaysian Palm Oil Board,MALAYSIAN PALM OIL COUNCIL
Brotherhood of Maint of Way Employ Div,"BROTHERHOOD OF MAINTENANCE OF WAY EMPLOYES DIVISION, IBT"
"Fairchild, Roger C",ROGER C. FAIRCHILD
Communicare Inc,COMMUNICARE
Polimatrix Inc,POLIMATRIX
Vulcan Spectrum,"Vulcan Spectrum, LLC"
Most Marketing Services,MOST MARKETING SERVICES
"Bainwol, Mitch","BAINWOL, MITCH"
Gannett Co,"GANNETT CO., INC"
Greater Columbia Chamber of Commerce,GREATER COLUMBIA CHAMBER OF COMMERCE
Fiorentino & Hewett,Fiorentino and Hewett
ATSC Forum,ATSC FORUM
TeleCorp PCS,TELECORP PCS
Ier Inc,IER INC
Institute for Education & the Arts,INSTITUTE FOR EDUCATION & THE ARTS
Intellectual Property Owners Assn,INTELLECTUAL PROPERTY OWNERS ASSOCIATION
US Chamber Institute for Legal Reform,U.S. CHAMBER OF COMMERCE INSTITUTE FOR LEGAL REFORM
Motorvac Technologies,MOTORVAC TECHNOLOGIES
"City of Norfolk, VA","CITY OF NORFOLK, VIRGINIA"
Popular Inc,POPULAR INC
LiveRamp Inc,Acxiom Corporation
Natl Assn Equal Opportunity Higher Educ,NATIONAL ASSN FOR EQUAL OPPORTUNITY IN HIGHER EDUCATION
"Township of Weehawken, NJ",Township of Weehawken
Coalition for Respbl Waste Incineration,COALITION FOR RESPONSIBLE WASTE INCINERATION
Langston in the 21st Century,LANGSTON IN THE 21ST CENTURY FOUNDATION
Paperboard Packaging Council,PAPERBOARD PACKAGING COUNCIL
Pine Bluff Sand & Gravel,PINE BLUFF SAND & GRAVEL CO.
Southeast Dairy Farmers Assn,SOUTHEAST DAIRY FARMER ASSN
Ohio Rail Development Commission,OHIO RAIL DEVELOPMENT COMMISSION
"Okaloosa County, FL",OKALOOSA COUNTY FLORIDA
United Food & Commercial Workers Union,United Food & Commercial Workers International Union
Ahva Properties,"Ahva Properties, LLC"
Dow Chemical,Dow Chemical Company
Arkansas Children's Hospital,ARKANSAS CHILDRENS HOSPITAL
Indiana Univ Research & Technology Corp,INDIANA UNIV RESEARCH & TECHNOLOGY CORP
Vietnam Veterans of America,VETERANS FOR AMERICA
"Recht, Harris M","RECHT, HARRIS M."
Sacramento-Potomac Consulting,SACRAMENTO-POTOMAC CONSULTING
Stidd Systems,STIDD SYSTEMS
Konica Corp,KONICA CORP
Grand Trunk Corp,GRAND TRUNK CORPORATION
Kraft Foods,"Kraft Foods Global, Inc."
Candle Corp,CANDLE CORP
Boysville of Texas,BOYSVILLE OF TEXAS
Walgreens,Walgreen Company
National Assn of Postmasters,NATL ASSN OF POSTMASTERS OF THE U S
Qwest Communications,QWEST COMMUNICATIONS INC
Hydrocarbon Technologies,HYDROCARBON TECHNOLOGIES INCORPORATED
Tiboni Assoc,"Tiboni Associates, Inc."
Media Coalition for Cameras in Courts,MEDIA COALITION FOR CAMERAS IN COURTS
Symantec Corp,SYMANTEC CORP
Optical Systems Technology,OPTICAL SYSTEMS TECHNOLOGY
Global Witness,GLOBAL WITNESS PUBLISHING
Town of Scott Sanitary District Number 1,"TOWN OF SCOTT, SANITARY DISTRICT NO. 1"
Pittsburgh Cultural Trust,PITTSBURGH CULTURAL TRUST
Assn of British Insurers,ASSN OF BRITISH INSURERS
Mercy Health Systems of Kansas,MERCY HEALTH SYSTEMS OF KANSAS INC
TY Lin International,T.Y. Lin International
Elsevier Inc,"ELSEVIER, INC"
Bunge North America,"BUNGE NORTH AMERICA, INC"
Capitol Outdoor,"Capitol Outdoor, Inc."
Novavision Inc,"NovaVision, Inc."
San Francisco Bay Water Transit Auth,SAN FRANCISCO BAY WATER EMERGENCY TRANSPORTATION AUTHORITY
JG Ferguson & Assoc,J.G. Ferguson & Associates LLC
Private Essential Access Community Hosp,Private Essential Access Community Hospitals
Catawba Indian Nation,CATAWBA INDIAN NATION 996 AVENUE OF THE NATIONS ROCK HILL NC 29730
Northwest Forest Resource Council,AMERICAN FOREST RESOURCE COUNCIL
Santa Ana Unified School District,SANTA ANA UNIFIED SCHOOL DISTRICT
AFLAC Inc,AFLAC INCORPORATED
"Latta, Delbert L","LATTA, DELBERT"
"City of Peoria, AZ","CITY OF PEORIA, AZ"
"Estrada, Roberto Zamora",Roberto Zamora Estrada
Vastar Resources,VASTAR RESOURCES
Host Marriott Corp,MARRIOTT CORP
Collazo Enterprises,COLLAZO ENTERPRISES
National Assn Management Group,National Association Management Group
"Port of Moses Lake, WA",Port of Moses Lake
AXA Financial,AXA FINANCIAL
"Beitler, Rachael",Rachael Beitler
Potomac Partners,POTOMAC PARTNERS DC
MetLife Inc,METROPOLITAN LIFE INSURANCE CO
Service Corp International,SERVICE CORP INTL
CFFE LLC,CFFE
HealthStar,"HealthStar, LLC"
Gannett Co,"THE GANNETT COMPANY, INC."
European Jewish Congress,The European Jewish Congress
Relate Now,RELATE NOW LLC
Gay & Robinson,GAY & ROBINSON
Mother Jones Magazine,MOTHER JONES MAGAZINE
Century Inc,Century Incorporated
SBC Communications,"SBC COMMUNICATIONS, INC"
Sybase Inc,SYBASE
Alabama District Attorneys Assn,ALABAMA DISTRICT ATTORNEYS
Center for Heat Treating Excellence,CENTER FOR HEAT TREATING EXCELLENCE
Macon Edwards Co,The Macon Edwards Company
Barrick Gold Corp,Barrick Gold Corporation of North America Inc.
Juvenile Diabetes Foundation International,Juvenile Diabetes Research Foundation International
Navajo Nation Oil & Gas Co,NAVAJO NATION OIL & GAS CO
American Assn of Orthopaedic Surgeons,AMERICAN ASSOCIATION OF ORTHOPAEDIC SURGEONS
Yeager & Boyd,"Yeager & Boyd, LLC"
Online Publishers Assn,ONLINE PUBLISHERS ASSN
Porsche Cars North America,Porsche Cars of North America
Coaltion for Healthy Oregon/Pacwest,Coalition for a Healthy Oregon
Santa Marta Hospital,SANTA MARTA HOSPITAL
EducationCounsel,EducationCounsel LLC
Cyber Security Research Consultants,"Cyber Security research Consultants, LLC"
Peduzzi Assoc,"PEDUZZI ASSOCIATES, LTD."
"Braddock, Martha",Martha Braddock
Quapaw Tribe,QUAPAW TRIBE
Masco Corp,Masco Corporation
"Town of Ponce Inlet, FL",TOWN OF PONCE INLET
Mou Citrus Partnership,MOU PARTNERS
Kimble's Aviation Logistical Services,Kimble's Aviation Logistical Services Inc.
FDC Technologies,FDC TECHNOLOGIES
Springs Industries,SPRINGS INDUSTRIES
Oto Melara SPA,OTO MELARA
EdisonLearning Inc,EDISON LEARNING
Coalition of Publicly Traded Partnershps,COALITION OF PUBLICLY TRADED PARTNERSHIPS
NRR Conemaugh,NRR CONEMAUGH
Camara de Comercio,CAMARA DE COMERCIO INDUSTRIAS Y AGRICULTURA DE PANAMA
"Moore, Alan J",Mr. Alan Moore
Omeros Corp,OMEROS CORPORATION
Intl Assn Plumbing & Mechanical Official,International Association of Plumbing and Mecanical Officials
Metal Storm,"METAL STORM, INC"
Tonkon Torp,TONKON TORP LLP
Afton Chemical,AFTON CHEMICAL CORP
"Wiggins, Dennis P","WIGGINS, DENNIS P."
Veolia ES Technical Solutions,"Veolia ES Technical Solutions, LLC"
Manistique Papers,MANISTIQUE PAPERS
NYFIX Inc,NYFIX INC
Reed Elsevier Inc,Reed Elsevier
Newark Museum,NEWARK MUSEUM
"Borough of State College, PA",Borough of State College
E-Plus Government,"E-Plus Government, Inc."
Cure for Lymphoma Foundation,LYMPHOMA RESEARCH FOUNDATION
Alliance of US Startups & Inventors for Jobs,Alliance of U.S. Startups and Inventors for Jobs
United Postmasters & Managers of America,National League of Postmasters
Common Era,COMMON ERA LLC
Copper Valley Telephone Cooperative,COPPER VALLEY TELEPHONE COOPERATIVE
Physical Sciences Inc,"Physical Sciences, Inc."
One Marketing & Research,ONE MARKETING AND RESEARCH
Intermedia Communications,INTERMEDIA COMMUNICATIONS
Schneck Memorial Hospital,SCHNECK MEMORIAL HOSPITAL
"Georgetown County, SC",GEORGETOWN COUNTY SC
Denver Botanic Gardens,DENVER BOTANIC GARDENS
Washington Hospital Center,WASHINGTON HOSPITAL HEALTHCARE SYSTEM
Hall & Assoc,HALL & ASSOC
Business Cltn/US-Central America Trade,BUSINESS COALITION FOR U S -CENTRAL AMERICA TRADE
Aurora Flight Sciences,Aurora Flight Sciences Corporation
University of San Francisco,UNIVERSITY OF SAN FRANCISCO
Zevnik Horton Llp,ZEVNIK HORTON
Bracewell & Giuliani,BRACEWELL & GIULIANI LLP
"Holden, Missy",Missy Holden
Coda Octopus Group,"CODA OCTOPUS GROUP, INC."
"Los Angeles County, CA","LOS ANGELES COUNTY, CA"
John I Haas Inc,"JOHN I HAAS, INC."
TriMedx Healthcare Technology Management,TRIMEDX LLC
St Mary's Regional Medical Center,SAINT MARYS REGIONAL MEDICAL CENTER
Alliance for Community Media,ALLIANCE FOR COMMUNITY MEDIA
Baker & Hostetler,BAKER & HOSTETLER LLP
First Source Consultants,"First Source Consultants, LLC"
Affymetrix Inc,AFFYMETRIX
Time Warner Telecom,TIME WARNER TELECOM
CHS Inc,CHS INC -WASHINGTON DC OFFICE
Paratus Assoc,PARATUS ASSOC LLC
America's Communication Assn,AMERICAN CABLE ASSOCIATION INC
North American Insulation Manufacturers Assn,NORTH AMERICAN INSULATION MANUFACTURERS ASSOCIATION
Our365 Inc,"Our365, Inc."
Horizon Organic Dairy,HORIZON ORGANIC DAIRY
Alcoa Inc,Alcoa Corp
"Wilson, Donald E","WILSON, DONALD E."
"Jartman, Marc R","JARTMAN, MARC R."
"City of Highland Park, IL",CITY OF HIGHLAND PARK
Beautycounter,"Counter Brands, LLC"
"Village of Riverdale, IL",Village of Riverdale
NatureWorks,NatureWorks LLC
Caris Science,CARIS SCIENCE INC
Centura Health,CENTURA HEALTH
AbbVie Inc,"AbbVie, Inc."
Central Eurpean Media Enterprises Ltd,"CENTRAL EUROPEAN MEDIA ENTERPRISES, LTD"
World Savings Bank,WORLD SAVINGS BANK
Endeavor Energy,"Endeavor Energy Holdings, LLC"
Calypso Medical Technologies,CALYPSO MEDICAL TECHNOLOGIES INC.
Indra Systems,Indra Systems Inc.
Assn of Businesswomen of Cameroon,ASSN OF BUSINESSWOMEN OF CAMEROON
TJX Companies,"TJX COS, INC"
Burton Industries,BUTRON INDUSTRIES INC
Rohwedder,ROHWEDDER
Allstate Facilities Management,ALLSTATE FACILITIES MANAGEMENT
Stockbridge-Munsee Band Mohican Indians,STOCKBRIDGE MUNSEE
"Ledyard, North Stonington & Preston, CT",TOWNS OF LEDYARD NORTH STONINGTON & PRESTON CONNECTICUT
"Lemster, Bryan",Bryan Lemster
Oath Inc,OATH INC AND VARIOUS SUBSIDIARIES
Institute/Electrical & Electronics Engrs,THE INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS
Natl Assn Equal Opportunity Higher Educ,NATL ASSN FOR EQUAL OPPORTUNITY IN HIGHER EDUCATION
Jones Boat Yard,"Jones Boat Yard, Inc."
Cumberland Resources,CUMBERLAND RESOURCES
Providence Health & Services,PROVIDENCE HEALTH & SERVICES
Related Companies,RELATED COMPANIES LP
Shield Technologies,SHIELD TECHNOLOGIES CORP
Northwest Mining Assn,Northwest Mining Association
Lloyd's Register North America,"Lloyd's Register North America, Inc."
CTIA-The Wireless Assn,CELLULAR TELECOMMUNICATIONS & INTERNET ASSN
Montana Dept of Natural Resources,"STATE OF MONTANA, DEPT OF NAT RESOURCES & CONSERVA"
Heyl Chem-Pharm Fabrik,HEYL CHEM-PHARM FABRIK
Renaissance Technologies,"Renaissance Technologies, LLC"
Blimptech LLC,"BLIMPTECH, LLC"
American Inst for International Steel,AMERICAN INSTITUTE FOR INTL STEEL
Allstates Design & Development,ALLSTATES DESIGN & DEVELOPMENT CO
Bombardier Transportation USA,BOMBARDIER TRANSPORTATION
Renal Solutions,RENAL SOLUTIONS
"Cameron, Arthur E",Arthur E Cameron
Catawba Indian Nation,CATAWBA INDIAN NATION
Moon Transportation Authority,MOON TRANSPORTATION AUTHORITY
Collins & Co,COLLINS & CO
EREH Phase I,"EREH Phase I, LLC"
Institute of International Bankers,INSTITUTE OF INTL BANKERS
Sunflower Wind Energy,SUNFLOWER WIND ENERGY INC
Principia LLC,"Principia, LLC"
"Pinellas County, FL","Pinellas County, Florida"
GPU Inc,GENERAL PUBLIC UTILITIES CORP
KV Strategies,"KV Strategies, LLC"
Unocal Corp,UNOCAL
Endocare Inc,"Endocare, Inc."
Illinois Housing Development Authority,ILLINOIS HOUSING DEVELOPMENT AUTHORITY
Carnegie Hall Corp,CARNEGIE HALL CORPORATION
Glaucoma Foundation,GLAUCOMA FOUNDATION
New York Life Insurance,NEW YORK LIFE
Energy Conversion Devices Inc,ENERGY CONVERSION DEVICES
Basic Management Inc,"Basic Management, INC."
Shee Atika Inc,"SHEE ATIKA, INCORPORATED"
Old Dominion University,OLD DOMINION UNIV
Greener & Hook,Greener and Hook LLC
American Property Casualty Insurance Assn,American Insurance Association
Advanced Composites Group,ADVANCED COMPOSITES GROUP
Fortis Inc,ASSURANT INC
Business Roundtable,BUSINESS ROUNDTABLE
IBX LLC,"IBX, LLC"
Miami Valley Marketing Group,MIAMI VALLEY MARKETING GROUP
Millikin University,MILLIKIN UNIV
Hebrew Academy of Cleveland,HEBREW ACADEMY OF CLEVELAND
"Galveston County, TX",GALVESTON COUNTY TX
Henry H Kessler Foundation,HENERY H. KESSLER FOUNDATION
Commonwealth Care Alliance,COMMONWEALTH CARE ALLIANCE
Takata Corp,TAKATA CORP
CapitalSource Inc,CAPITAL SOURCE LLC
Genesis Consulting Group,GENESIS CONSULTING GROUP
Mount Vernon Ladies Assn,MOUNT VERNON LADIES ASSN
Advanced Mobile Hospital Systems,ADVANCED MOBILE HOSPTIAL SYSTEMS
Entergy Corp,ENTERGY
BlueWater Strategies,BlueWater Strategies llc
BKSH & Assoc,BKSH & ASSOC
Children's Health Fund,CHILDREN'S HEALTH FUND
British Aerospace,BRITISH AEROSPACE NORTH AMERICA INC
Diamond Management & Tech Solutions,DIAMOND MANAGEMENT & TECHNOLOGY CONSULTANTS
Sunstate College,Sunstate College Inc.
Health Care Policy Consultants,HEALTH CARE POLICY CONSULTING
Clearwire Corp,CLEARWIRE CORPORATION
Price Howlett Inc,PRICE HOWLETT
Interstate-5 Consortium,I-5 CONSORTIUM CITIES JOINT POWERS AUTHORITY
Northeast Regional Cancer Institute,NORTHEAST REGIONAL CANCER INSTITUTE
Parker-Hannifin,PARKER HANNIFIN COPORATION
SUNY/Stony Brook Univ Medical Center,UNIV MEDICAL CENTER
Midfirst Bank,MidFirst Bank
Association for Supervision & Curriculum Devel,ASCD
Cantrell Drug Co,CANTRELL DRUG COMPANY
Acadiana Management Group,"Acadiana Management Group, LLC"
Taylor Lohmeyer PC,TAYLOR LOHMEYER LAW FIRM LLP
American Ports PAC,American Ports Political Action Committee
Horizon Pharma,HORIZON PHARMA
Overseas Shipholding Group,OVERSEAS SHIPHOLDING GROUP
Braddock Point,BRADDOCK POINT
MJW Corp,MJW CORPORATIONS
Digital Assurance Certification,DIGITAL ASSURANCE CERTIFICATION
Southern Minn Beet Sugar Co-op,SOUTHERN MINNESOTA BEET SUGAR COOPERATIVE
Materials Modicfication,"MATERIALS MODIFICATION, INC."
"McMahon, John N","MCMAHON, JOHN N."
Tara Toy Corp,TARA TOY CORP
ATOFINA Petrochemicals,"TOTAL PETROCHEMICALS USA, INC."
George Washington University,GEORGE WASHINGTON UNIV
United Electrical & Machine Workers,UNITED ELECTRICAL RADIO & MACHINE WORKERS OF AMERICA
Three Rivers Workforce Investment Board,THREE RIVERS WORKFORCE INVESTMENT BOARD
"Matz, Shea & Blancato",MATZ BLANCATO & ASSOC INC
"Newman, William B Jr","William B. Newman, Jr. LLC"
ASET Corp,ASET Corporation
Terphane Inc,"TERPHANE, INC."
Technikon LLC,Technikon
Pharmaceutical Care Management Assn,Pharmaceutical Care Management Association
"Weinberg, Bergeson & Neuman",WEINBERG BERGESON & NEUMAN
Automotive Recyclers Assn,AUTOMOBILE RECYCLERS ASSN
Wegmann USA,"Wegmann USA, Inc."
Questar Corp,QUESTAR EXPLORATION AND PRODUCTION
National Right to Life,NATIONAL RIGHT TO LIFE COMMITTEE
Murphy Oil,MURPHY OIL USA
Optimus Corp,OPTIMUS CORP
American Medical Student Assn,AMERICAN MEDICAL STUDENT ASSN
Northrop Grumman Electronic Systems,NORTHROP GRUMMAN ELECTRON DEVICE
US Education Finance Corp,U S EDUCATION FINANCE CORP
Brooklyn Children's Hospital,BROOKLYN CHILDREN'S MUSEUM
Adacel Systems,ADACEL SYSTEMS
Royal Boskalis Westminister NV,Royal Boskalis Westminster N.V.
Mosher & Assoc,MOSHER & ASSOC
Health & Hospital Corp of Marion County,HEALTH & HOSPITAL CORP
Allen D Freemyer Esq PC,"Allen D. Freemyer Esq, PC"
Generic Pharmaceutical Assn,Association for Accessible Medicines
Captain Consultants,CAPTAIN CONSULTANTS
Rodriquez & Assoc,RODRIQUEZ & ASSOC
American Cotton Shippers Assn,AMERICAN COTTON SHIPPERS ASSN
Brown & Co,"Brown and Company, Inc."
Confederated Tribes of Grand Ronde,CONFEDERATED TRIBES OF GRAND RONDE COMMUNITY OF OR
Consumer Cltn/Competition in Sat Radio,Consumer Coalition for Competition in Satellite Radio
Ulteig Engineers,ULTEIG ENGINEERS INC
Weatherford International,"WEATHERFORD INTERNATIONAL, INC."
"Moroney, Zorina",MRS ZORINA MORONEY
Henry H Kessler Foundation,HENRY H. KESSLER FOUNDATION
Mfj International,MFJ INTERNATIONAL
McLean Political Strategies,McLean Political Strategies LLC
"Johnson, John C Jr","JOHNSON, JOHN C., JR."
Union Telephone,UNION TELEPHONE CO
National Immigration & Customs Enforcement Council,National Immigration Customs and Enforcement Council
Edmund Graber & Assoc,"GRABER, EDMUND C."
Brainscope Co,"Brainscope Company, Inc."
Zurich Centre Group,ZURICH CENTRE GROUP
DRS Training & Control Systems,DRS TRAINING & CONTROL SYSTEMS
"Martilli, Dean",Dean Martilli
Anglogold North America,ANGLOGOLD ASHANTI NORTH AMERICA INC
Nitride Solutions,"Nitride Solutions, Inc."
Ford & Assoc,FORD & ASSOC
European Banking Federation,EUROPEAN BANKING FED
Public Strategies Inc,PUBLIC STRATEGIES
BioDelivery Sciences International,"BioDelivery Services International, Inc."
Eller & Co,ELLER & COMPANY
Nutanix Inc,"Cornerstone Government Affairs obo Nutanix, Inc."
Independence Blue Cross,"Independence Blue Cross, LLC"
CSFBDirect Inc,CSFBDIRECT INC
Alliance for Rail Competition,ALLIANCE FOR RAIL COMPETITION
"Miller, Diane N","MILLER, DIANE N."
Innovative Concepts,INNOVATIVE CONCEPTS INC
Litton Industries,LITTON INDUSTRIES
"Gray, Geoffrey P","GRAY, GEOFFREY P."
Port of Corpus Christi Authority,Port of Corpus Christi
Sturman Industries,"Sturman Industries, LLC"
Fidelity Investments,FMR CORP
Trustees of Purdue University,TRUSTEES OF PURDUE UNIVERSITY
USMP Group,"USMP GROUP, LLC"
Revere Data,"Revere Data, LLC"
Secure Systems,SECURE SYSTEM
nLight Corp,NLIGHT CORPORATION
Steward Health Care,STEWARD HEALTH CARE SYSTEM LLC
Metro-Home,METRO-HOME
Sunpower Corp,SUNPOWER CORPORATION
Northeastern Electronics,NORTHEASTERN ELECTRONICS INC
Central Kitsap School District,CENTRAL KITSAP SCHOOL DIST
"Cass County, IN","Cass County, Indiana Board of Commissioners"
Stolar Research Corp,Stolar Research Corporation
"Chlopak, Leonard et al",CHLOPAK LEONARD SCHECTHER & ASSOC
Astranis,Astranis Space Technologies Corp.
Sodexo USA,Sodexo
"City of Nacodoches, TX",City of Nacogdoches
Pittsburgh Tissue Engineering Initiative,PITTSBURGH TISSUE ENGINEERING INITIATIVE
Silverships,SILVERSHIPS
JFK International Air Terminal,JFK INTL ARRIVALS TERMINAL
"Lyons, Pipes & Cook",LYONS PIPES & COOK PC
Millennium Pharmaceuticals,MILLENNIUM PHARMACEUTICALS INC
Cisco Systems,"Cisco Systems, Inc"
"Township of Irvington, NJ",TOWNSHIP OF IRVINGTON
"City of St Pete Beach, FL",ST PETE BEACH
SBL Strategies,"SBL Strategies, LLC"
Daimler-Benz,DAIMLER-BENZ AG
Karl Storz Endoscopy-America,KARL STORZ ENDOSCOPY-AMERICA
Genesee & Wyoming,"Genesee & Wyoming, Inc."
Two Rivers Recycling,TWO RIVERS RECYCLING
International Sleep Products Assn,INTL SLEEP PRODUCTS ASSN
Dpwn USA,"DPWN-USA, INC"
Health Dialog,HEALTH DIALOG
Red Maple Consulting,"Red Maple Consulting, LLC"
Transocean Inc,Transocean Sedeco Forex Inc.
Nadine Chatman Consulting Firm,NADINE CHATMAN CONSULTING FIRM LLC
Rural Media Group,"Rural Media Group, Inc."
Neogen Corp,Neogen Corporation
US Green Building Council,US GREEN BUILDING COUNCIL
NRA Institute for Legislative Action,NATL RIFLE ASSN FOR LEGISLATIVE ACTION
Elcousia,eIcousia
International Speedway,INTL SPEEDWAY CORP
Enterprise Information Management,ENTERPRISE INFORMATION MANAGMENT
National Star Route Mail Contractors Assn,NATL STAR ROUTE MAIL CONTRACTORS ASSN
TRM Consultants,TRM CONSULTANTS LLC
Carnegie Library of Pittsburgh,CARNEGIE LIBRARY OF PITTSBURGH
ECMC Group,ECMC GROUP
Transunion LLC,"TransUnion, LLC"
John Hancock & Assoc,JOHN HANCOCK
Calgon Carbon Corp,CALGON CARBON CORPORATION
University at Albany/SUNY,"UNIV AT ALBANY, STATE OF NEW YORK"
Southern Management Corp,Southern Management Corporation
IDEA International,"IDEA INTERNATIONAL, INC."
Continental Carbon Nanotechnologies,Continental Carbon Company
Trifinery Inc,TRIFINERY
Menard,MENARD
Cubic Corp,CUBIC CORPORATION
Agility Recovery Solutions,"Agility Recovery Solutions, Inc."
AWL Inc,MacFarlane Group
"Hammons, Sam",Mr. SAM HAMMONS
Alliance One International,"Alliance One International, Inc."
Gigoptix Inc,GIGOPTIX INC
University of Arizona,UNIV OF AZ FOUNDATION
Novartis Corp,"NOVARTIS VACCINES & DIAGNOSTICS, INC"
Roche Diagnostics,Roche Diagnostics Corporation
Pueblo of Zia,PUEBLO OF ZIA
Advanced Telecom Depreciation Coalition,ADVANCED TELECOMMUNICATIONS DEPRECIATION COALITION
Iowa Corn Growers Assn,IA CORN GROWERS ASSN
"Evans, Billy Lee","EVANS, BILLY LEE"
Feighan Team,The Feighan Team
Stine Steed Co,STINE SEED CO
Applied Signal Technology,"Applied Signal Technology, Inc."
HELLEN Systems,HELLEN SYSTEMS
Climate Advisors,"Climate Advisors,"
Wiley College,WILEY COLLEGE
Desert Research Institute,DESERT RESEARCH INSTITUTE
El Paso Corp,El Paso Corporation
Whole Foods Market,"Whole Foods Market, Inc"
Frontier Corp,GLOBAL CROSSING LTD
American Society for Blood & Marrow Transplant,ASTCT
Latrobe Specialty Steel,Latrobe Specialty Steel Company
Korea Iron & Steel Assn,KOREA IRON & STEEL ASSN
Carbon Nanotechnologies Inc,CARBON NANOTECHNOLOGIES INC
Joseph Group,"The Joseph Group, LLC"
Port Houston,Port of Houston Authority
"English, Lucas et al","English, Lucas, Priest & Owsley, L.L.P."
Oragenics,"Oragenics, Inc"
Automotive Trade Policy Council,AUTOMOTIVE TRADE POLICY COUNCIL
Captiva Corp,CAPTIVA CORP
Property Owners Remedy Alliance,PROPERTY OWNERS REMEDY ALLIANCE
"City of Piedmont, OK","City of Piedmont, Oklahoma"
National Wildlife Refuge Assn,NATL WILDLIFE REFUGE ASSN
Multistack LLC,MULTISTACK INC
VILF Consultants,VILF CONSULTANTS
Hormel Foods,Hormel Foods Corporation
Oneida Tribe of Wisconsin,Wisconsin Oniedas
Snowshoe Mountain,SNOWSHOE MOUNTAIN
Northwest Capital Corp,Northwest Capital Corp.
National Disease Research Interchange,NATIONAL DISEASE RESEARCH INTERCHANGE
Haas TCM,HAAS TCM
"Ballard, Spahr et al",BALLARD SPAHR ANDREWS & INGERSOLL LLP
AON Consulting,"Aon Consulting, Inc."
McKellar Group,MCKELLAR GROUP INC.
"Memphis Light, Gas & Water Division",MEMPHIS LIGHT GAS AND WATER DIVISION
Copart Inc,COPART INC
Blackberry,BLACKBERRY
Leonardo DRS,"DRS Technologies, Inc."
Chad Bradley & Assoc,"Chad Bradley& Associates, L.L.C."
Legislative Strategies Group,LEGISLATIVE STRATEGIES GROUP
Medical Professional Liability Assn,Medical Professional Liability Association
Timbisha Shoshone Tribe,TIMBISHE SHOSHONE TRIBE
Coalition of EPSCoR States,THE COALITION OF EPSCOR STATES
Paysafe Merchant Services Corp,Paysafe Merchant Services Corporation
Columbus & Greenville Railway,COLUMBUS & GREENVILLE RAILWAY
Blue Cross/Blue Shield of Georgia,BLUE CROSS & BLUE SHIELD OF GEORGIA
American Wholesale Marketers Assn,American Wholesale Marketers Association
Covanta Energy Corp,COVANTA
Academic Loan Group,"ACADEMIC LOAN GROUP, LLC"
Centrica US Holdings,"Centrica US Holdings, Inc."
Washington Resource Assoc,WASHINGTON RESOURCE ASSOC
"City of Safety Harbor, FL","CITY OF SAFETY HARBOR, FL"
Sugar Assn,"Sugar Association, Inc."
"Borders, Brian T","BORDERS, BRIAN T."
Thales Group,Thales
"Moore, Alan J","MOORE, ALAN J."
Healthbridge,HEALTHBRIDGE
Fabiani & Co,FABIANI & COMPANY
Residential Capital LLC,"Residential Capital, LLC"
Smartronix,Smatronix
EnergySolutions Inc,ENERGYSOLUTIONS
EAG of Americas Inc,EAG OF AMERICAS INC
Alstom Power,ALSTOM POWER
American College of Chest Physicians,AMERICAN COLLEGE OF CHEST PHYSICIANS
"Brown, Nietert & Kaufman",BROWN NIETERT & KAUFMAN
American Suzuki Motor,AMERICAN SUZUKI MOTOR CORP
Blackbird Technologies,"BLACKBIRD TECHNOLOGIES, INC"
Arc of the US,ARC OF THE UNITED STATES
"O'Brien, Gentry & Scott","O'Brien, Gentry & Scott, LLC"
Pale Blue,"Pale Blue, LLC"
Pliant Corp,PLIANT CORP
"Fragomen, Del Rey et al","Fragomen, Del Rey, Bernsen & Loewy LLP"
US Turkmenistan Business Council,US-Turkmenistan Business Council
American Psychological Assn,THE AMERICAN PSYCHOLOGICAL ASSOCIATION
"Stone, Deborah",Deborah Stone
Island Express Boat Lines,ISLAND EXPRESS BOAT LINES LTD
Ahl Shipping,AHL SHIPPING COMPANY
"Avery, Andrea","AVERY, ANDREA"
American Management Systems,AMERICAN MANAGEMENT
Chicago Transit Authority,CHICAGO TRANSIT AUTHORITY
Trinity Storage Services,TRINITY STORAGE SERVICES LP
Sara Lee Knit Products,SARA LEE KNIT PRODUCTS
American Assn/Oral & Maxillofacial Surg,American Association of Oral and Maxillofacial Surgeons
